,nb_code,lat,lng,Venue,Venue_ID,Venue Latitude,Venue Longitude,Venue Category
63,11373,40.737347,-73.878716,Shell Cove,4deae955d22da22d4ee1ca33,40.74100850738795,-73.88013025780066,Food
64,11373,40.737347,-73.878716,Kung Fu Tea 功夫茶,4d0d3a865c46a093eb450db4,40.737570899999994,-73.8767088,Bubble Tea Shop
65,11373,40.737347,-73.878716,GrandStand,4b5bdbf0f964a5202f1a29e3,40.73559592960085,-73.88110155787248,Bar
66,11373,40.737347,-73.878716,Kulu Dessert,56b3f23b498e225f803f9791,40.737217379618016,-73.87725828714953,Dessert Shop
67,11373,40.737347,-73.878716,Lao Bei Fang,4eaf0752d3e30d448393b841,40.7410775502016,-73.87999607191509,Chinese Restaurant
68,11373,40.737347,-73.878716,Akino,5a418721b0405637687d4272,40.741226196477626,-73.88126104688422,Sushi Restaurant
69,11373,40.737347,-73.878716,Patacon Pisao,4b258076f964a520f17224e3,40.73531766836826,-73.88150392294814,Venezuelan Restaurant
70,11373,40.737347,-73.878716,Five Loaves and Two Fishes,56296f14498edb1ed77b64a3,40.74133899324618,-73.88132961897121,Chinese Restaurant
71,11373,40.737347,-73.878716,Taste Good Malaysian Cuisine 好味,4aa58ef5f964a520cc4820e3,40.741662849562175,-73.88217675751956,Malay Restaurant
72,11373,40.737347,-73.878716,Amadeus Nightclub,56609d3b498efe11e6679c4f,40.739398159425136,-73.88442149897578,Nightclub
73,11373,40.737347,-73.878716,Taiwanese Specialties 老華西街台菜館,4adfb158f964a520c47c21e3,40.73994310921165,-73.87866203189147,Taiwanese Restaurant
74,11373,40.737347,-73.878716,Sushi Island,4b64ea6ef964a52085d92ae3,40.73534380138681,-73.87547812292799,Sushi Restaurant
75,11373,40.737347,-73.878716,Tangra Masala,4a4e780ff964a52083ae1fe3,40.736415329554376,-73.878151669248,Indian Restaurant
76,11373,40.737347,-73.878716,Tomo Japanese Cafe,4c3b4ae416cb2d7f8b9c02a9,40.73463035717213,-73.87418166369173,Japanese Restaurant
77,11373,40.737347,-73.878716,Lamoon,5abad6379de23b5eeb077b04,40.74285049616353,-73.88291281240058,Thai Restaurant
78,11373,40.737347,-73.878716,Dek Sen,56e210f7cd102122a9fb1d1b,40.741753,-73.87869599999999,Thai Restaurant
79,11373,40.737347,-73.878716,Chao Thai ร้านชาวไทย,4ad5173cf964a520c90121e3,40.74141618965643,-73.88010209262605,Thai Restaurant
80,11373,40.737347,-73.878716,Alex's Barbershop,4bf1aaa23fa220a167911820,40.74155148465612,-73.87960235651194,Salon / Barbershop
81,11373,40.737347,-73.878716,Eim Khao Mun Kai Elmhurst อิ่ม ข้าวมันไก่เอ็มเฮิสท์,52f693e6498ed9d2a3fbad75,40.74301419509326,-73.8830565603355,Thai Restaurant
82,11373,40.737347,-73.878716,Boon Chu Thai Restaurant,4c2e801d3ffc952130568ff5,40.74069431922803,-73.87946577082448,Thai Restaurant
83,11373,40.737347,-73.878716,Midwood Deli,4b42a5c6f964a5202cd825e3,40.737650585548856,-73.87700646221829,Deli / Bodega
84,11373,40.737347,-73.878716,Boca Juniors Argentine Steakhouse,4b6cb79bf964a520af4e2ce3,40.73761813042355,-73.88187370429448,Argentinian Restaurant
85,11373,40.737347,-73.878716,Sammy's Halal Cart,4baf0abbf964a52054e83be3,40.74331832504558,-73.87595259119577,Food Truck
86,11373,40.737347,-73.878716,Cold Stone Creamery,4b8fbf45f964a5201b6033e3,40.7353643,-73.87491750000001,Ice Cream Shop
87,11373,40.737347,-73.878716,Pho Bac,4af78566f964a520af0922e3,40.74128317591036,-73.88130142132749,Vietnamese Restaurant
88,11373,40.737347,-73.878716,Shake Shack,5684054c498e5bcb99c29669,40.734342128497524,-73.86960273620892,Burger Joint
89,11373,40.737347,-73.878716,Du Bois,4d8b311e99c2a1cd0e709fd7,40.73979064326196,-73.87854836434771,Bakery
90,11373,40.737347,-73.878716,Rainbow Bakery & Café,53e629a7498e40c7e2677cc2,40.73629336902341,-73.87702889615271,Bakery
91,11373,40.737347,-73.878716,Wong Kwong Hop,50911496e4b07bfac89b21ff,40.73539530702787,-73.88141370408414,Snack Place
92,11373,40.737347,-73.878716,DSW Designer Shoe Warehouse,4ba5521af964a52071fa38e3,40.735692,-73.874436,Shoe Store
93,11373,40.737347,-73.878716,Panda Cafe,5290fc2411d2738c7002d3b1,40.74062847703402,-73.87922798627886,Bubble Tea Shop
94,11373,40.737347,-73.878716,Chick-fil-A,57c85b65498edd595e883afa,40.7346865,-73.8691516,Fast Food Restaurant
95,11373,40.737347,-73.878716,Victoria's Secret,4c5ae0d304f9be9ae7cdf260,40.734124518525476,-73.87074351592602,Lingerie Store
96,11373,40.737347,-73.878716,H.K. Taste,59cfd6697564f73b6b943326,40.741597733895716,-73.87493340681391,Chinese Restaurant
97,11373,40.737347,-73.878716,Apple Queens Center,559bdb20498e6668ef6ce9a3,40.73450271062538,-73.87037909033097,Electronics Store
98,11373,40.737347,-73.878716,Sky Cafe,53c99461498e31473d141ea2,40.741999219253174,-73.87862574881797,Indonesian Restaurant
99,11373,40.737347,-73.878716,Little House Cafe 聚香园茶餐厅,56b25deb498ebc3a62af6179,40.741853394476074,-73.87448565601497,Asian Restaurant
100,11373,40.737347,-73.878716,HK Food Court 香港美食城,5cd0e2799ba3e5002c0ecddd,40.741466075132756,-73.88246854797801,Food Court
101,11373,40.737347,-73.878716,GUESS Queens Center,4b79a565f964a5200f082fe3,40.73464051989829,-73.86944111452061,Clothing Store
102,11373,40.737347,-73.878716,Aéropostale,4c4b78c39c8d2d7f4dd6fc6a,40.73428971302561,-73.87004456415937,Clothing Store
103,11373,40.737347,-73.878716,Elmhurst Park,4db4871b5da3a76f44408373,40.73008543537868,-73.88513433397344,Park
104,11373,40.737347,-73.878716,Target,4aff5980f964a5209c3722e3,40.735331,-73.874913,Big Box Store
105,11373,40.737347,-73.878716,Disney Store,4bcb4532fb84c9b6ab761e3e,40.734885,-73.868538,Toy / Game Store
106,11373,40.737347,-73.878716,Sweet Yummy House 三好小馆,4b944c64f964a520907334e3,40.74086580641228,-73.87968981355337,Chinese Restaurant
107,11373,40.737347,-73.878716,SEPHORA,5335fee111d22e9f6f3fb15f,40.73462164474596,-73.87003837201706,Cosmetics Shop
108,11373,40.737347,-73.878716,El Gauchito,4c01956d1747a593a2c25dca,40.742160659646046,-73.86808668958162,Argentinian Restaurant
109,11373,40.737347,-73.878716,Vans,4d939b53eccda143cd730e55,40.73461554964991,-73.86890670775722,Shoe Store
110,11373,40.737347,-73.878716,Mama's Empanadas,4b107504f964a520da7023e3,40.73397427903548,-73.86938676238059,Empanada Restaurant
111,11373,40.737347,-73.878716,The Cheesecake Factory,580fb5bb38fa74d4d674894a,40.734563045266135,-73.86897332950468,American Restaurant
112,11373,40.737347,-73.878716,Pandora,4ef255f277c810388cda2dd6,40.73430150101567,-73.86983150501666,Jewelry Store
113,11373,40.737347,-73.878716,Il Triangolo Ristorante,4ea2fc90cc2102b34d3d8dc7,40.742224871718506,-73.86740180486544,Italian Restaurant
114,11373,40.737347,-73.878716,Macy's,4eac5d57cc217eb08f291e0e,40.7343519,-73.87158769999998,Department Store
