,rawindex,zip,ll,district,population,popu_permilesquare,rank,zip_group
75,375.,14218,"42.817887, -78.824667","Buffalo, New York",20203,2531.91,"#3,732",142
76,376.,11740,"40.865796, -73.363314","Greenlawn, New York",9647,2516.23,"#3,750",117
77,377.,10706,"40.990222, -73.865543","Hastings On Hudson, New York",9187,2511.34,"#3,760",107
78,378.,14305,"43.122642, -79.023024","Niagara Falls, New York",20319,2502.48,"#3,769",143
79,379.,14622,"43.215549, -77.556449","Rochester, New York",12027,2441.99,"#3,842",146
80,380.,10562,"41.192300, -73.833984","Ossining, New York",31035,2437.70,"#3,848",105
81,381.,11742,"40.809944, -73.040545","Holtsville, New York",12119,2419.70,"#3,868",117
82,382.,13417,"43.101278, -75.293446","New York Mills, New York",3180,2393.51,"#3,904",134
83,383.,12189,"42.733036, -73.718976","Watervliet, New York",16783,2363.06,"#3,954",121
84,384.,14303,"43.084094, -79.031636","Niagara Falls, New York",7128,2335.86,"#3,979",143
85,385.,10591,"41.090097, -73.841014","Tarrytown, New York",21590,2321.65,"#4,005",105
86,386.,12207,"42.658332, -73.746412","Albany, New York",2187,2297.57,"#4,033",122
87,387.,11787,"40.852924, -73.211260","Smithtown, New York",34794,2258.42,"#4,080",117
88,388.,14905,"42.087725, -76.843282","Elmira, New York",9407,2256.76,"#4,082",149
89,389.,11705,"40.743277, -73.055841","Bayport, New York",8007,2248.98,"#4,092",117
90,390.,14221,"42.984522, -78.722871","Buffalo, New York",51448,2247.52,"#4,094",142
91,391.,11024,"40.816373, -73.743736","Great Neck, New York",7564,2245.55,"#4,096",110
92,392.,14618,"43.112890, -77.557574","Rochester, New York",22387,2222.58,"#4,126",146
93,393.,11769,"40.736277, -73.129837","Oakdale, New York",9729,2202.53,"#4,149",117
94,394.,12601,"41.708174, -73.910203","Poughkeepsie, New York",43130,2179.49,"#4,190",126
95,395.,10996,"41.393700, -73.972175","West Point, New York",7126,2178.17,"#4,191",109
96,396.,10004,"40.691870, -74.014109","New York, New York",1225,2162.99,"#4,213",100
97,397.,11020,"40.770007, -73.712974","Great Neck, New York",4043,2153.65,"#4,227",110
98,398.,11791,"40.829724, -73.498525","Syosset, New York",24445,2151.50,"#4,231",117
99,399.,11777,"40.949875, -73.061723","Port Jefferson, New York",9025,2080.21,"#4,339",117
100,400.,13212,"43.127007, -76.129705","Syracuse, New York",20878,2047.08,"#4,387",132
1,401.,12047,"42.782255, -73.727721","Cohoes, New York",18167,2043.44,"#4,394",120
2,402.,10604,"41.052798, -73.736957","West Harrison, New York",10430,2034.57,"#4,405",106
3,403.,10956,"41.156331, -73.994110","New City, New York",31071,2031.75,"#4,408",109
4,404.,13090,"43.152537, -76.217092","Liverpool, New York",30934,2030.38,"#4,409",130
5,405.,11697,"40.555681, -73.920688","Breezy Point, New York",4226,2029.93,"#4,410",116
6,406.,14626,"43.216516, -77.710843","Rochester, New York",29120,2028.67,"#4,412",146
7,407.,14224,"42.837826, -78.747935","Buffalo, New York",40509,2014.20,"#4,428",142
8,408.,10523,"41.061817, -73.819281","Elmsford, New York",7489,2000.66,"#4,447",105
9,409.,11559,"40.605480, -73.716208","Lawrence, New York",8103,1999.99,"#4,448",115
10,410.,10580,"40.978942, -73.693320","Rye, New York",16737,1975.15,"#4,478",105
11,411.,10594,"41.110366, -73.767887","Thornwood, New York",5460,1939.75,"#4,540",105
12,412.,14219,"42.789589, -78.825966","Buffalo, New York",13050,1929.24,"#4,555",142
13,413.,10533,"41.039478, -73.850709","Irvington, New York",7464,1897.03,"#4,603",105
14,414.,14612,"43.266330, -77.676706","Rochester, New York",35665,1890.45,"#4,618",146
15,415.,10989,"41.122955, -73.938031","Valley Cottage, New York",9381,1885.12,"#4,623",109
16,416.,12205,"42.714984, -73.824289","Albany, New York",26337,1835.88,"#4,702",122
17,417.,11730,"40.720680, -73.172384","East Islip, New York",16050,1833.81,"#4,706",117
18,418.,11967,"40.805671, -72.879071","Shirley, New York",24943,1832.55,"#4,710",119
19,419.,11788,"40.817677, -73.210123","Hauppauge, New York",16836,1803.33,"#4,761",117
20,420.,11797,"40.820348, -73.472077","Woodbury, New York",9005,1782.14,"#4,789",117
21,421.,10570,"41.127957, -73.790628","Pleasantville, New York",12366,1781.36,"#4,791",105
22,422.,11763,"40.823551, -72.980284","Medford, New York",24743,1759.91,"#4,818",117
23,423.,10984,"41.202903, -74.022265","Thiells, New York",2298,1736.36,"#4,860",109
24,424.,12130,"42.442570, -73.658564","Niverville, New York",899,1733.37,"#4,863",121
25,425.,11713,"40.773594, -72.945434","Bellport, New York",9160,1732.65,"#4,865",117
26,426.,12303,"42.753534, -73.926481","Schenectady, New York",27942,1728.34,"#4,877",123
27,427.,10976,"41.021423, -73.922172","Sparkill, New York",1795,1678.55,"#4,950",109
28,428.,12466,"41.905034, -73.985610","Port Ewen, New York",3101,1674.28,"#4,960",124
29,429.,14514,"43.122159, -77.810679","North Chili, New York",4722,1673.19,"#4,964",145
30,430.,12543,"41.485123, -74.220417","Maybrook, New York",3133,1668.31,"#4,972",125
31,431.,11733,"40.934181, -73.105889","East Setauket, New York",20382,1651.09,"#4,991",117
32,432.,12204,"42.691525, -73.733797","Albany, New York",6792,1646.06,"#5,001",122
33,433.,12309,"42.790136, -73.862338","Schenectady, New York",30057,1611.39,"#5,063",123
34,434.,10048,"40.711665, -74.012417","New York, New York",55,1601.72,"#5,079",100
35,435.,12211,"42.705608, -73.766085","Albany, New York",10684,1588.40,"#5,097",122
36,436.,10511,"41.261063, -73.948349","Buchanan, New York",2189,1576.31,"#5,115",105
37,437.,11743,"40.878517, -73.426767","Huntington, New York",41566,1559.41,"#5,142",117
38,438.,11766,"40.935097, -73.015864","Mount Sinai, New York",9365,1558.49,"#5,145",117
39,439.,11547,"40.830929, -73.643958","Glenwood Landing, New York",666,1555.33,"#5,150",115
40,440.,13495,"43.114019, -75.271854","Yorkville, New York",2271,1535.45,"#5,191",134
41,441.,12550,"41.539574, -74.057223","Newburgh, New York",52084,1526.83,"#5,205",125
42,442.,10920,"41.153040, -73.938131","Congers, New York",8937,1501.97,"#5,253",109
43,443.,11782,"40.753968, -73.099453","Sayville, New York",15897,1453.01,"#5,328",117
44,444.,11934,"40.798359, -72.794297","Center Moriches, New York",6539,1449.89,"#5,335",119
45,445.,13603,"44.035347, -75.804288","Watertown, New York",7498,1448.79,"#5,337",136
46,446.,11778,"40.939095, -72.928456","Rocky Point, New York",11514,1447.04,"#5,339",117
47,447.,11768,"40.910132, -73.324377","Northport, New York",21676,1444.73,"#5,344",117
48,448.,12110,"42.750910, -73.775205","Latham, New York",20463,1437.10,"#5,354",121
49,449.,14623,"43.087333, -77.641867","Rochester, New York",27387,1420.83,"#5,385",146
50,450.,10548,"41.247875, -73.941802","Montrose, New York",4076,1403.00,"#5,423",105
51,451.,14625,"43.150039, -77.505521","Rochester, New York",10792,1394.14,"#5,437",146
52,452.,10464,"40.867099, -73.797609","Bronx, New York",4634,1389.08,"#5,451",104
53,453.,10165,"40.752131, -73.978722","New York, New York",7,1388.41,"#5,455",101
54,454.,10547,"41.308707, -73.855615","Mohegan Lake, New York",8544,1381.14,"#5,472",105
55,455.,11702,"40.618005, -73.407877","Babylon, New York",14975,1376.33,"#5,484",117
56,456.,14304,"43.100698, -78.948314","Niagara Falls, New York",30960,1374.18,"#5,488",143
57,457.,10595,"41.087709, -73.785778","Valhalla, New York",7482,1373.58,"#5,491",105
58,458.,13211,"43.104491, -76.116553","Syracuse, New York",6425,1326.58,"#5,578",132
59,459.,14120,"43.079317, -78.842654","North Tonawanda, New York",43144,1324.90,"#5,585",141
60,460.,14624,"43.128271, -77.731354","Rochester, New York",38231,1314.47,"#5,604",146
61,461.,11780,"40.890431, -73.171453","Saint James, New York",14920,1299.60,"#5,644",117
62,462.,12508,"41.495996, -73.953632","Beacon, New York",19487,1274.97,"#5,708",125
