,nb_code,area,population,lat,lon
53,10023,"New York, New York",62206,40.775394,-73.982197
54,11233,"Brooklyn, New York",61955,40.678089,-73.91986700000001
55,10024,"New York, New York",61414,40.786307,-73.970694
56,11706,"Bay Shore, New York",60460,40.720471,-73.259399
57,10031,"New York, New York",60221,40.825857,-73.949451
58,10128,"New York, New York",59856,40.781656,-73.950281
59,11434,"Jamaica, New York",59142,40.676808,-73.776425
60,11550,"Hempstead, New York",59022,40.702731,-73.623226
61,10312,"Staten Island, New York",58867,40.547290999999994,-74.179264
62,10009,"New York, New York",58595,40.726622,-73.978955
63,M2J,"Fairview, Henry Farm, Oriole",58293,43.7785175,-79.3465557
64,10033,"New York, New York",58259,40.849123999999996,-73.935956
65,11432,"Jamaica, New York",57045,40.71522,-73.793188
66,11691,"Far Rockaway, New York",56184,40.600774,-73.757824
67,10027,"New York, New York",56168,40.811407,-73.953564
68,10473,"Bronx, New York",56166,40.817685,-73.858576
69,M9V,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown",55959,43.7394164,-79.5884369
70,11216,"Brooklyn, New York",55775,40.680854,-73.94914399999999
71,10306,"Staten Island, New York",55698,40.569755,-74.122141
72,11758,"Massapequa, New York",54933,40.662298,-73.45841300000001
73,M1V,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",54680,43.8152522,-79.2845772
74,11354,"Flushing, New York",54329,40.768208,-73.827403
75,11435,"Jamaica, New York",53877,40.701408,-73.80981700000001
76,10460,"Bronx, New York",53707,40.842724,-73.879745
77,10003,"New York, New York",53673,40.731856,-73.989145
78,11717,"Brentwood, New York",51485,40.783955,-73.252256
79,10016,"New York, New York",51217,40.744983000000005,-73.978262
80,11224,"Brooklyn, New York",51205,40.577257,-73.989762
81,10461,"Bronx, New York",49808,40.847409000000006,-73.841403
82,10977,"Spring Valley, New York",49211,41.11892,-74.048158
83,M5V,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara",49195,43.6289467,-79.3944199
84,11238,"Brooklyn, New York",48965,40.678424,-73.963874
85,11237,"Brooklyn, New York",48910,40.704159999999995,-73.921139
86,11419,"South Richmond Hill, New York",48867,40.688685,-73.82288199999999
87,M1W,L'Amoreaux West,48471,43.79952520000001,-79.3183887
88,M1K,"East Birchmount Park, Ionview, Kennedy Park",48434,43.7279292,-79.26202940000002
89,11201,"Brooklyn, New York",47746,40.693682,-73.989693
90,M1E,"Guildwood, Morningside, West Hill",46943,43.7635726,-79.1887115
91,M4C,Woodbine Heights,46866,43.69534390000001,-79.3183887
92,10011,"New York, New York",46669,40.741844,-74.000711
93,10040,"New York, New York",46599,40.858134,-73.92903100000001
94,11757,"Lindenhurst, New York",46458,40.689587,-73.373856
95,M1P,"Dorset Park, Scarborough Town Centre, Wexford Heights",45571,43.7574096,-79.27330400000002
96,11420,"South Ozone Park, New York",45498,40.673525,-73.817771
97,10028,"New York, New York",44987,40.776865,-73.95472099999999
98,M6H,"Dovercourt Village, Dufferin",44950,43.66900510000001,-79.4422593
99,11103,"Astoria, New York",44321,40.762634000000006,-73.913156
100,11374,"Rego Park, New York",44189,40.726219,-73.861264
101,11520,"Freeport, New York",44026,40.650851,-73.584575
102,11756,"Levittown, New York",43952,40.724567,-73.51633299999999
103,11370,"East Elmhurst, New York",43142,40.765370000000004,-73.893132
104,11106,"Astoria, New York",43130,40.762211,-73.931528
105,10940,"Middletown, New York",42860,41.446544,-74.478741
106,11590,"Westbury, New York",42507,40.756284,-73.570247
107,10465,"Bronx, New York",42500,40.826285,-73.822762
108,M6M,"Del Ray, Keelesdale, Mount Dennis, Silverthorn",42434,43.6911158,-79.47601329999998
109,11105,"Astoria, New York",42117,40.778997,-73.906847
110,M3N,Downsview Northwest,41958,43.7616313,-79.52099940000002
111,11772,"Patchogue, New York",41913,40.771471000000005,-72.995182
112,10034,"New York, New York",41756,40.869208,-73.921929
113,11365,"Fresh Meadows, New York",41566,40.738856,-73.792528
114,11743,"Huntington, New York",41566,40.878516999999995,-73.426767
115,M6N,"The Junction North, Runnymede",41243,43.67318529999999,-79.48726190000002
116,11228,"Brooklyn, New York",41172,40.616863,-74.013196
117,M5A,"Harbourfront, Regent Park",41078,43.6542599,-79.3606359
118,10451,"Bronx, New York",40961,40.822092,-73.922612
119,M6K,"Brockton, Exhibition Place, Parkdale Village",40957,43.6368472,-79.42819140000002
120,M2R,Willowdale West,40792,43.7827364,-79.4422593
121,M9W,Northwest,40684,43.7067483,-79.5940544
